VARNAME,TYPE,ADDR,POINT,SIZE,DESCRIPTION
_RUN,BIT,F00000,0,0,RUN
_STOP,BIT,F00001,0,0,STOP
_ERROR,BIT,F00002,0,0,ERROR
_DEBUG,BIT,F00003,0,0,DEBUG
_LOCAL_CON,BIT,F00004,0,0,로컬 컨트롤
_RUN_EDIT_ST,BIT,F00008,0,0,런중 수정 중(프로그램 다운로드 중)
_RUN_EDIT_CHK,BIT,F00009,0,0,런중 수정 중(내부 처리 중)
_RUN_EDIT_DONE,BIT,F0000A,0,0,런중 수정 완료
_RUN_EDIT_NG,BIT,F0000B,0,0,런중 수정 비정상 완료
_CMOD_KEY,BIT,F0000C,0,0,키에 의한 운전모드 변경
_CMOD_LPADT,BIT,F0000D,0,0,로컬 PADT에 의한 운전모드 변경
_CMOD_RPADT,BIT,F0000E,0,0,리모트 PADT에 의한 운전모드 변경
_CMOD_RLINK,BIT,F0000F,0,0,리모트 통신 모듈에 의한 운전 모드 변경
_FORCE_IN,BIT,F00010,0,0,강제 입력
_FORCE_OUT,BIT,F00011,0,0,강제 출력
_MON_ON,BIT,F00014,0,0,모니터 실행 중
_USTOP_ON,BIT,F00015,0,0,STOP 펑션에 의한 STOP
_ESTOP_ON,BIT,F00016,0,0,ESTOP 펑션에 의한 STOP
_COMPILE_MODE,BIT,F00017,0,0,컴파일 수행 중
_INIT_RUN,BIT,F00018,0,0,초기화 태스크 수행 중
_PB1,BIT,F0001C,0,0,프로그램 코드1
_PB2,BIT,F0001D,0,0,프로그램 코드2
_CB1,BIT,F0001E,0,0,컴파일 코드1
_CB2,BIT,F0001F,0,0,컴파일 코드2
_IO_TYER,BIT,F00021,0,0,모듈 타입 불일치 에러
_IO_DEER,BIT,F00022,0,0,모듈 착탈 에러
_IO_RWER,BIT,F00024,0,0,입출력 모듈 읽기/쓰기 에러(고장)
_ANNUM_ER,BIT,F00026,0,0,외부기기의 중고장 검출 에러
_CDOVER_ER,BIT,F00027,0,0,실행코드 영역 초과 에러
_BPRM_ER,BIT,F00028,0,0,기본 파라미터 이상
_IOPRM_ER,BIT,F00029,0,0,IO 구성 파라미터 이상
_PGM_ER,BIT,F0002C,0,0,프로그램 에러
_CODE_ER,BIT,F0002D,0,0,프로그램 코드 에러
_SWDT_ER,BIT,F0002E,0,0,CPU 비정상 종료 또는 고장
_WDT_ER,BIT,F00030,0,0,스캔 워치독 에러
_TMRIDX_ER,BIT,F00032,0,0,타이머 인덱스 사용 에러
_COMPILE_ER,BIT,F00033,0,0,컴파일 에러
_INST_ER,BIT,F00034,0,0,연산에러
_RTC_ER,BIT,F00040,0,0,RTC 데이터 이상
_DBCK_ER,BIT,F00041,0,0,데이터 백업 이상
_ABSD_ER,BIT,F00043,0,0,비정상 운전 정지
_TASK_ER,BIT,F00044,0,0,태스크 충돌
_BAT_ER,BIT,F00045,0,0,배터리 이상
_ANNUM_WAR,BIT,F00046,0,0,외부 기기의 경고장 검출
_HS_WAR1,BIT,F00048,0,0,고속링크 파라미터1 이상
_HS_WAR2,BIT,F00049,0,0,고속링크 파라미터2 이상
_HS_WAR3,BIT,F0004A,0,0,고속링크 파라미터3 이상
_HS_WAR4,BIT,F0004B,0,0,고속링크 파라미터4 이상
_HS_WAR5,BIT,F0004C,0,0,고속링크 파라미터5 이상
_P2P_WAR1,BIT,F00054,0,0,P2P 파라미터1 이상
_P2P_WAR2,BIT,F00055,0,0,P2P 파라미터2 이상
_P2P_WAR3,BIT,F00056,0,0,P2P 파라미터3 이상
_P2P_WAR4,BIT,F00057,0,0,P2P 파라미터4 이상
_P2P_WAR5,BIT,F00058,0,0,P2P 파라미터5 이상
_P2P_WAR6,BIT,F00059,0,0,P2P 파라미터6 이상
_CONSTANT_RUN,BIT,F00080,0,0,고정주기 운전 실행중
_CONSTANT_ER,BIT,F0005C,0,0,고정주기 오류
_T20MS,BIT,F00090,0,0,20ms 주기 CLOCK
_T100MS,BIT,F00091,0,0,100ms 주기 CLOCK
